"육교명",도로종류,도로노선번호,도로노선명,소재지도로명주소,위도,경도,육교연장,육교높이,허용통행하중,통행제한높이,육교폭,난간높이,조명개수,장애인편의시설설치여부,장애인편의시설종류,장애인편의시설수량,부대시설종류,부대시설수량,육교준공일자,내진설계적용여부,안전등급,사용제한구분,육교보수보강내역,최종안전점검유형,최종안전점검일자,관리기관명,데이터기준일자
"신영로타리 보도육교",특별시도,4901번,세검정로9길 1 앞,서울특별시 종로구 세검정로,37.603668,126.961852,,,,4.5,,,,N,없음,,,,,,보통,제한없음,,정기점검,2017-09-08,종로구청 도로과,2017-11-07
"세검 보도육교",특별시도,4901번,세검정로 265 앞,서울특별시 종로구 세검정로,37.602095,126.961137,,,,4.5,,,,N,없음,,,,,,불량,제한없음,,정기점검,2017-09-08,종로구청 도로과,2017-11-07
"서울예고앞 보도육교",특별시도,4901번,평창문화로 65 앞,서울특별시 종로구 평창문화로,37.606153,126.968444,,,,4.5,,,,N,없음,,,,,,불량,제한없음,,정기점검,2017-09-08,종로구청 도로과,2017-11-07
