"육교명",도로종류,도로노선번호,도로노선명,소재지도로명주소,위도,경도,육교연장,육교높이,허용통행하중,통행제한높이,육교폭,난간높이,조명개수,장애인편의시설설치여부,장애인편의시설종류,장애인편의시설수량,부대시설종류,부대시설수량,육교준공일자,내진설계적용여부,안전등급,사용제한구분,육교보수보강내역,최종안전점검유형,최종안전점검일자,관리기관명,데이터기준일자
"가곡초교입구 보도육교",시도,131번,강서로,서울특별시 강서구 강서로337,37.555691,126.834809,24.5,,,5,4,,,Y,엘리베이터,,,,2008-06-01,,양호,제한없음,,정기점검,2017-10-23,서울특별시 강서구청,2017-11-21
"수명산파크 보도육교",시도,없음,수명로,서울특별시 강서구 수명로1길 110,37.552947,126.823952,25.9,,,4.5,4,,,Y,경사로,,,,2005-08-01,,양호,제한없음,,정기점검,2017-06-30,서울특별시 강서구청,2017-11-21
"스카이파크 보도육교",시도,134번,개화동로,서울특별시 강서구 개화동로 561,37.563099,126.804551,53.6,,,4.7,4.5,,,Y,엘리베이터,,,,2011-11-01,,양호,제한없음,,정기점검,2017-06-30,서울특별시 강서구청,2017-11-21
"증미역연결 보도육교",기타,133번,양천로,서울특별시 양천로 551-24,37.558816,126.859993,40,,,0,4,,,Y,경사로,,,,2010-12-07,,양호,제한없음,,정기점검,2017-06-30,서울특별시 강서구청,2017-11-21
