"육교명",도로종류,도로노선번호,도로노선명,소재지도로명주소,위도,경도,육교연장,육교높이,허용통행하중,통행제한높이,육교폭,난간높이,조명개수,장애인편의시설설치여부,장애인편의시설종류,장애인편의시설수량,부대시설종류,부대시설수량,육교준공일자,내진설계적용여부,안전등급,사용제한구분,육교보수보강내역,최종안전점검유형,최종안전점검일자,관리기관명,데이터기준일자
"은천초교 앞",시도,4303,은천로,서울특별시 관악구 은천로 66,37.486239,126.942719,18,,,4.5,4,,,N,없음,,,,1997-07-24,N,보통,제한없음,육교 도색,정기점검,2017-10-16,서울특별시 관악구청,2017-11-24
"사당초교 앞",시도,22,관악로,서울특별시 관악구 남부순환로 2030,37.476187,126.974149,33,,,4.5,4,,,N,없음,,,,1984-01-21,N,보통,제한없음,육교 도색,정기점검,2017-10-16,서울특별시 관악구청,2017-11-24
"신우초교 앞",시도,103,호암로,서울특별시 관악구 호암로 498,37.462163,126.931853,24,,,4.5,4,,,N,없음,,,,1992-07-27,N,보통,제한없음,,정기점검,2017-10-16,서울특별시 관악구청,2017-11-24
"도림천보도육교",시도,43,신사로,서울특별시 관악구 신사로70,37.485834,126.910447,88,,,4.5,4,,,N,없음,,,,1994-07-20,N,보통,제한없음,육교 도색,정기점검,2017-10-16,서울특별시 관악구청,2017-11-24
"신림동보라매공원",시도,43,신사로,서울특별시 관악구 신사로130,37.488722,126.916239,72,,,4.5,4,,,Y,경사로,2,,,1998-02-28,N,보통,제한없음,육교 도색,정기점검,2017-10-16,서울특별시 관악구청,2017-11-24
"봉현초교앞",시도,22,관악로,서울특별시 관악구 관악로 304,37.491013,126.956287,43,,,4.5,6,,,Y,경사로,2,,,2003-01-28,N,양호,제한없음,육교 도색,정기점검,2017-10-16,서울특별시 관악구청,2017-11-24
"구암초교앞",시도,4225,양녕로,서울특별시 관악구 은천로93,37.488823,126.946203,28,,,4.5,4.5,,,Y,경사로,1,,,2005-06-30,N,양호,제한없음,,정기점검,2017-10-16,서울특별시 관악구청,2017-11-24
"관악산~까치산생태통로",시도,22,관악로,서울특별시 관악구 남현동 산55-5,37.475339,126.970997,80,,,4.5,15,,,N,없음,,,,2006-12-27,N,양호,제한없음,,정기점검,2017-10-16,서울특별시 관악구청,2017-11-24
