"육교명",도로종류,도로노선번호,도로노선명,소재지도로명주소,위도,경도,육교연장,육교높이,허용통행하중,통행제한높이,육교폭,난간높이,조명개수,장애인편의시설설치여부,장애인편의시설종류,장애인편의시설수량,부대시설종류,부대시설수량,육교준공일자,내진설계적용여부,안전등급,사용제한구분,육교보수보강내역,최종안전점검유형,최종안전점검일자,관리기관명,데이터기준일자
"경인철도횡단 보도육교",구도,없음,부일로,서울특별시 구로구 부일로15가길 3,37.493130,126.833985,27,4.5,,4.5,3.3,1.5,7,N,없음,,,,1988-07-30,,보통,제한없음,,정밀점검,2016-05-30,서욱특별시 구로구청,2017-11-24
"칠성아파트앞 보도육교",시도,없음,남부순환로,서울특별시 구로구 구일로2길 60,37.489472,126.876158,66,4.3,,4.3,3.5,1.5,13,Y,엘리베이터,3,,,1988-11-15,,보통,제한없음,,정밀점검,2016-05-30,서욱특별시 구로구청,2017-11-24
"오정초교앞 보도육교",시도,없음,경인로,서울특별시 구로구 경인로2길 10,37.490431,126.826190,29,4.5,,4.5,4,1.5,9,N,없음,,,,1993-10-30,,보통,제한없음,,정밀점검,2016-05-30,서욱특별시 구로구청,2017-11-24
"가리봉동주민센타앞 보도육교",시도,없음,남부순환로,서울특별시 구로구 남부순환로105길 160,37.482904,126.885476,40,4.8,,4.8,2.8,1.5,7,N,없음,,,,1977-09-30,,보통,제한없음,,정밀점검,2016-05-30,서욱특별시 구로구청,2017-11-24
"남부아파트앞 보도육교",시도,없음,남부순환로,서울특별시 구로구 남부순환로 1303,37.478526,126.895678,35,4.5,,4.5,2.65,1.5,7,N,없음,,,,1977-09-30,,보통,제한없음,,정밀점검,2016-05-30,서욱특별시 구로구청,2017-11-24
"고척교앞 보도육교",시도,없음,경인로,서울특별시 구로구 경인로 482,37.498936,126.872674,38,4.5,,4.5,4,1.5,11,Y,엘리베이터,2,,,2004-02-28,,보통,제한없음,,정밀점검,2017-06-19,서욱특별시 구로구청,2017-11-24
"이씨의다리 보도육교",시도,없음,서부간선도로,서울특별시 구로구 구로중앙로42길 85,37.510239,126.877445,41,4.5,,4.5,4,1.5,6,N,없음,,,,2004-12-01,,보통,제한없음,,정밀점검,2017-06-19,서욱특별시 구로구청,2017-11-24
"구일역앞 보도육교",시도,없음,서부간선도로,서울특별시 구로구 구일로 110,37.495245,126.871674,68,4.5,,4.5,3.7,1.5,4,Y,엘리베이터,1,,,1995-01-01,,보통,제한없음,,정밀점검,2017-06-19,서욱특별시 구로구청,2017-11-24
"신구로유수지앞 보도육교",시도,없음,서부간선도로,서울특별시 구로구 서부샛길 822,37.488849,126.872841,44,4.5,,4.5,3.1,1.5,,N,없음,,,,2009-09-19,,보통,제한없음,,정밀점검,2017-06-19,서욱특별시 구로구청,2017-11-24
