"","육교명","도로종류","도로노선번호","도로노선명","소재지도로명주소","위도","경도","육교연장","육교높이","허용통행하중","통행제한높이","육교폭","난간높이","조명개수","장애인편의시설설치여부","장애인편의시설종류","장애인편의시설수량","부대시설종류","부대시설수량","육교준공일자","내진설계적용여부","안전등급","사용제한구분","육교보수보강내역","최종안전점검유형","최종안전점검일자","관리기관명","데이터기준일자"
"22","관악산~까치산생태통로","시도",NA,"관악로","서울특별시 관악구 남현동 산55-5",37.475339,126.970997,80,NA,NA,4.5,15,NA,NA,"N","없음",NA,NA,NA,"2006-12-27","N","양호","제한없음","","정기점검","2017-10-16","서울특별시 관악구청","2017-11-24"
"23","경인철도횡단 보도육교","구도","없음","부일로","서울특별시 구로구 부일로15가길 3",37.49313,126.833985,27,4.5,NA,4.5,3.3,1.5,7,"N","없음",NA,NA,NA,"1988-07-30",NA,"보통","제한없음",NA,"정밀점검","2016-05-30","서욱특별시 구로구청","2017-11-24"
"24","칠성아파트앞 보도육교","시도","없음","남부순환로","서울특별시 구로구 구일로2길 60",37.489472,126.876158,66,4.3,NA,4.3,3.5,1.5,13,"Y","엘리베이터",3,NA,NA,"1988-11-15",NA,"보통","제한없음",NA,"정밀점검","2016-05-30","서욱특별시 구로구청","2017-11-24"
"25","오정초교앞 보도육교","시도","없음","경인로","서울특별시 구로구 경인로2길 10",37.490431,126.82619,29,4.5,NA,4.5,4,1.5,9,"N","없음",NA,NA,NA,"1993-10-30",NA,"보통","제한없음",NA,"정밀점검","2016-05-30","서욱특별시 구로구청","2017-11-24"
"26","가리봉동주민센타앞 보도육교","시도","없음","남부순환로","서울특별시 구로구 남부순환로105길 160",37.482904,126.885476,40,4.8,NA,4.8,2.8,1.5,7,"N","없음",NA,NA,NA,"1977-09-30",NA,"보통","제한없음",NA,"정밀점검","2016-05-30","서욱특별시 구로구청","2017-11-24"
"27","남부아파트앞 보도육교","시도","없음","남부순환로","서울특별시 구로구 남부순환로 1303",37.478526,126.895678,35,4.5,NA,4.5,2.65,1.5,7,"N","없음",NA,NA,NA,"1977-09-30",NA,"보통","제한없음",NA,"정밀점검","2016-05-30","서욱특별시 구로구청","2017-11-24"
"28","고척교앞 보도육교","시도","없음","경인로","서울특별시 구로구 경인로 482",37.498936,126.872674,38,4.5,NA,4.5,4,1.5,11,"Y","엘리베이터",2,NA,NA,"2004-02-28",NA,"보통","제한없음",NA,"정밀점검","2017-06-19","서욱특별시 구로구청","2017-11-24"
"29","이씨의다리 보도육교","시도","없음","서부간선도로","서울특별시 구로구 구로중앙로42길 85",37.510239,126.877445,41,4.5,NA,4.5,4,1.5,6,"N","없음",NA,NA,NA,"2004-12-01",NA,"보통","제한없음",NA,"정밀점검","2017-06-19","서욱특별시 구로구청","2017-11-24"
"30","구일역앞 보도육교","시도","없음","서부간선도로","서울특별시 구로구 구일로 110",37.495245,126.871674,68,4.5,NA,4.5,3.7,1.5,4,"Y","엘리베이터",1,NA,NA,"1995-01-01",NA,"보통","제한없음",NA,"정밀점검","2017-06-19","서욱특별시 구로구청","2017-11-24"
"31","신구로유수지앞 보도육교","시도","없음","서부간선도로","서울특별시 구로구 서부샛길 822",37.488849,126.872841,44,4.5,NA,4.5,3.1,1.5,NA,"N","없음",NA,NA,NA,"2009-09-19",NA,"보통","제한없음",NA,"정밀점검","2017-06-19","서욱특별시 구로구청","2017-11-24"
"32","방이1 보행자전용교량","특별시도","71번","양재대로","서울특별시 송파구 오금사거리",37.504812,127.123672,70.8,NA,NA,4.6,3,NA,NA,"Y","점자블록+경사로",2,"없음",NA,"1995-12-30","Y","양호","제한없음",NA,"정밀점검","2017-09-10","서울특별시 송파구청","2017-11-21"
"33","방이2 보행자전용교량","특별시도","71번","양재대로","서울특별시 송파구 오금사거리",37.504812,127.123672,70.8,NA,NA,4.6,3,NA,NA,"Y","점자블록+경사로",2,"없음",NA,"1996-09-24","Y","양호","제한없음",NA,"정밀점검","2017-09-10","서울특별시 송파구청","2017-11-21"
"34","농수산보도육교","특별시도","61번","양재대로","서울특별시 송파구 양재대로889",37.494707,127.105484,40,NA,NA,4.4,2.3,NA,NA,"N","없음",NA,"없음",NA,"1991-05-14","Y","보통","제한없음",NA,"정밀점검","2017-09-10","서울특별시 송파구청","2017-11-21"
"35","능골","시도",NA,"국회대로","서울특별시 양천구 지양로16길 15",37.525091,126.832696,81,6,NA,4.5,4,1.2,4,"N","점자블록",1,"없음",0,"1992-07-01","N","양호","제한없음","없음","정기점검","2017-09-15","서울특별시 양천구청","2017-11-01"
"36","신당","시도",NA,"국회대로","서울특별시 양천구 국회대로 28",37.525891,126.837752,53,6,NA,4.5,4,1.2,10,"N","점자블록",1,"없음",0,"1992-07-01","N","보통","제한없음","없음","정기점검","2017-09-15","서울특별시 양천구청","2017-11-01"
"37","당모래","시도",NA,"국회대로","서울특별시 양천구 국회대로 90",37.527292,126.844742,53,6,NA,4.5,4,1.2,10,"N","점자블록",1,"없음",0,"1992-07-01","N","보통","제한없음","도장보수","정기점검","2017-09-15","서울특별시 양천구청","2017-11-01"
"38","은빛","시도",NA,"국회대로","서울특별시 양천구 국회대로 170",37.52841,126.853616,53,6,NA,4.5,4,1.2,10,"N","점자블록",1,"없음",0,"1992-07-01","N","보통","제한없음","도장보수","정기점검","2017-09-15","서울특별시 양천구청","2017-11-01"
"39","소망","시도",NA,"국회대로","서울특별시 양천구 국회대로 210",37.528975,126.858466,59,6,NA,4.5,5,1.2,10,"N","점자블록",1,"없음",0,"1992-07-01","N","보통","제한없음","도장보수","정기점검","2017-09-15","서울특별시 양천구청","2017-11-01"
"40","잣절","시도",NA,"남부순환로","서울특별시 양천구 남부순환로 699",37.506698,126.844273,40,6,NA,4.3,3,1.2,6,"N","점자블록",1,"없음",0,"1977-12-01","N","보통","제한없음","도장보수","정기점검","2017-09-15","서울특별시 양천구청","2017-11-01"
"41","신정기지","구도",NA,"목동남로","서울특별시 양천구 목동남로 85",37.511661,126.868151,185,6,NA,4.5,4,1.2,12,"N","점자블록",1,"없음",0,"1993-09-01","N","보통","제한없음","논슬립보수","정기점검","2017-09-15","서울특별시 양천구청","2017-11-01"
"42","오금","구도",NA,"목동남로","서울특별시 양천구 목동로3길 41",37.510918,126.867962,23,6,NA,4.7,4,1.2,6,"N","점자블록",1,"없음",0,"1998-06-01","N","보통","제한없음","도장보수","정기점검","2017-09-15","서울특별시 양천구청","2017-11-01"
"43","신월IC","시도",NA,"남부순환로","서울특별시 양천구 남부순환로",37.525423,126.834818,85,6,NA,4.2,3.5,1.2,4,"N","점자블록",1,"없음",0,"2011-11-04","N","양호","제한없음","없음","정기점검","2017-09-15","서울특별시 양천구청","2017-11-01"
"44","금옥여고앞","시도",NA,"신정로","서울특별시 양천구 신정로 213",37.509669,126.844476,33,6,NA,4.7,5.5,1.2,6,"Y","점자블록",1,"엘리베이터",1,"2001-12-01","N","양호","제한없음","바닥면(탄성포장)보수","정기점검","2017-09-15","서울특별시 양천구청","2017-11-01"
"45","목동운동장앞","시도",NA,"안양천로","서울특별시 양천구 목동동로 298",37.528551,126.880142,40,6,NA,4.5,4.6,1.3,3,"Y","점자블록, 경사로",2,"없음",0,"2006-06-01","N","양호","제한없음","바닥면(탄성포장)보수","정기점검","2017-09-15","서울특별시 양천구청","2017-11-01"
"46","신정교앞","시도",NA,"안양천로","서울특별시 양천구 신목로 5",37.517383,126.87688,80,6,NA,4.5,3.4,1.3,4,"Y","점자블록, 경사로",2,"없음",0,"2008-06-01","N","양호","제한없음","바닥면(데크)보수","정기점검","2017-09-15","서울특별시 양천구청","2017-11-01"
"47","이대목동병원","시도",NA,"안양천로","서울특별시 양천구 안양천로 1071",37.537594,126.88666,40,6,NA,4.5,4.6,1.3,3,"Y","점자블록, 경사로",2,"없음",0,"2009-02-01","N","양호","제한없음","바닥면(탄성포장)보수","정기점검","2017-09-15","서울특별시 양천구청","2017-11-01"
"48","신은","시도",NA,"신월로","서울특별시 양천구 신정이펜2로 55",37.514507,126.831186,228,6,NA,4.5,4.3,1.3,4,"Y","점자블록, 경사로",2,"없음",0,"2002-06-26","N","양호","제한없음","바닥면(데크)보수","정기점검","2017-09-15","서울특별시 양천구청","2017-11-01"
"49","칼산","구도",NA,"목동남로","서울특별시 양천구 목동남로4길 2",37.508612,126.864206,26,6,NA,4.5,4,1.2,6,"N","점자블록",1,"없음",0,"1994-01-01","N","보통","제한없음","도장보수","정기점검","2017-09-15","서울특별시 양천구청","2017-11-01"
"50","양원","시도",NA,"화곡로","서울특별시 양천구 화곡로 16",37.539186,126.823479,27,6,NA,4.5,4,1.2,8,"N","점자블록",1,"없음",0,"1994-07-01","N","보통","제한없음","도장보수","정기점검","2017-09-15","서울특별시 양천구청","2017-11-01"
