"육교명",도로종류,도로노선번호,도로노선명,소재지도로명주소,위도,경도,육교연장,육교높이,허용통행하중,통행제한높이,육교폭,난간높이,조명개수,장애인편의시설설치여부,장애인편의시설종류,장애인편의시설수량,부대시설종류,부대시설수량,육교준공일자,내진설계적용여부,안전등급,사용제한구분,육교보수보강내역,최종안전점검유형,최종안전점검일자,관리기관명,데이터기준일자
"숭의리라초교",시도,00번,소파로,"서울특별시 중구 소파로2길 7, 앞",37.558060,126.987214,26.2,,,4.8,3.4,,,N,없음,,,,,,보통,제한없음,,정밀점검,2017-07-19,중구청도로시설과,2017-11-23
"충무초교앞",시도,00번,동호로,"서울특별시 중구 퇴계로50길 13, 앞",37.562320,127.002642,28.7,,,4.2,4,,,N,없음,,,,,,보통,제한없음,,정밀점검,2017-07-19,중구청도로시설과,2017-11-23
