"육교명",도로종류,도로노선번호,도로노선명,소재지도로명주소,위도,경도,육교연장,육교높이,허용통행하중,통행제한높이,육교폭,난간높이,조명개수,장애인편의시설설치여부,장애인편의시설종류,장애인편의시설수량,부대시설종류,부대시설수량,육교준공일자,내진설계적용여부,안전등급,사용제한구분,육교보수보강내역,최종안전점검유형,최종안전점검일자,관리기관명,데이터기준일자
"우신초교 앞 보도육교",시도,147,신길로,서울특별시 영등포구 신길로 190,37.50926300,126.91080100,,,,4.5,,,,N,없음,,,,,,보통,제한없음,,정기점검,2017-09-04,영등포구청,2017-11-15
"영등포수원지 앞 보도육교",시도,199,노들로,서울특별시 영등포구 양화동 1,37.54747200,126.88387100,,,,4.5,,,,N,없음,,,,,,보통,제한없음,,정기점검,2017-09-04,영등포구청,2017-11-15
"영등포역 횡단 보도육교",기타,없음,경인선,서울특별시 영등포구 경인로94길 7,37.51389500,126.90369500,,,,4.5,,,,N,없음,,,,,,보통,제한없음,,정기점검,2017-09-04,영등포구청,2017-11-15
"문래 보도육교",시도,245,서부간선도로,서울특별시 영등포구 문래로4길 4,37.52024600,126.88201800,,,,4.5,,,,Y,엘리베이터,,,,,,양호,제한없음,,정기점검,2017-09-04,영등포구청,2017-11-15
"양평1 보도육교",시도,245,서부간선도로,서울특별시 영등포구 양산로 3,37.52619300,126.88308100,,,,4.5,,,,Y,엘리베이터,,,,,,양호,제한없음,,정기점검,2017-09-04,영등포구청,2017-11-15
"양평2 보도육교",시도,245,서부간선도로,서울특별시 영등포구 양평로21길 26,37.53344700,126.89182100,,,,4.5,,,,Y,엘리베이터,,,,,,양호,제한없음,,정기점검,2017-09-04,영등포구청,2017-11-15
"도림 보도육교",기타,없음,도림천,서울특별시 영등포구 도영로7길 15,37.50895500,126.89277100,,,,4.5,,,,N,없음,,,,,,양호,제한없음,,정기점검,2017-09-04,영등포구청,2017-11-15
"선유도 기존보도육교",시도,199,노들로,서울특별시 영등포구 양평로24길 36,37.54154600,126.89513500,,,,4.5,,,,Y,엘리베이터,,,,,,양호,제한없음,,정기점검,2017-09-04,영등포구청,2017-11-15
